ng-star-inserted src,marquee-text,event-id,marquee-text 2,marquee-text 3,event-source-type,event-time,full-date
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,7.4W,53.0,Luz dormitorio,Casa/Dormitorio,Sistema,2024-02-02 08:32:24,2024-02-02 2024-02-02 08:32:24
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,7.5W,50.0,49.0,Casa/Salón,Sistema,2024-02-02 08:32:23,2024-02-02 2024-02-02 08:32:23
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,65.0,Luz pasillo,Casa/Pasillo,Sistema,2024-02-02 08:24:57,2024-02-02 2024-02-02 08:24:57
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,65.0,Luz pasillo,Casa/Pasillo,Sistema,2024-02-02 08:24:51,2024-02-02 2024-02-02 08:24:51
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,59.0,Luz cocina,Casa/Cocina,Sistema,2024-02-02 08:22:31,2024-02-02 2024-02-02 08:22:31
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,59.0,Luz cocina,Casa/Cocina,Sistema,2024-02-02 08:22:29,2024-02-02 2024-02-02 08:22:29
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,40.1W,59.0,Luz cocina,Casa/Cocina,Sistema,2024-02-02 08:21:29,2024-02-02 2024-02-02 08:21:29
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,59.0,Luz cocina,Casa/Cocina,Sistema,2024-02-02 08:21:27,2024-02-02 2024-02-02 08:21:27
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,5.7W,53.0,Luz dormitorio,Casa/Dormitorio,Sistema,2024-02-02 08:20:04,2024-02-02 2024-02-02 08:20:04
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,28W,65.0,Luz pasillo,Casa/Pasillo,Sistema,2024-02-02 08:19:43,2024-02-02 2024-02-02 08:19:43
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,65.0,Luz pasillo,Casa/Pasillo,Sistema,2024-02-02 08:19:36,2024-02-02 2024-02-02 08:19:36
https://home.fibaro.com/assets/icon/fibaro/door_lock/door_lock255.png,Control de acceso: Manual - Desbloqueada,99.0,Puerta,Casa/Entrada,Sistema,2024-02-02 08:19:19,2024-02-02 2024-02-02 08:19:19
https://home.fibaro.com/assets/icon/fibaro/door_lock/door_lock0.png,No seguro,99.0,Puerta,Casa/Entrada,Sistema,2024-02-02 08:19:19,2024-02-02 2024-02-02 08:19:19
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,20.7°C,24.0,Temperatura en sensor de humo,Casa/Salón,Sistema,2024-02-02 07:48:59,2024-02-02 2024-02-02 07:48:59
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,21°C,24.0,Temperatura en sensor de humo,Casa/Salón,Sistema,2024-02-02 04:55:04,2024-02-02 2024-02-02 04:55:04
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,10.37kWh,65.0,Luz pasillo,Casa/Pasillo,Sistema,2024-02-02 01:06:33,2024-02-02 2024-02-02 01:06:33
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,62.0,61.0,Casa/Salón,Sistema,2024-02-02 01:06:32,2024-02-02 2024-02-02 01:06:32
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,10.37kWh,62.0,61.0,Casa/Salón,Sistema,2024-02-02 01:06:32,2024-02-02 2024-02-02 01:06:32
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,62.0,61.0,Casa/Salón,Sistema,2024-02-02 01:06:32,2024-02-02 2024-02-02 01:06:32
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,65.0,Luz pasillo,Casa/Pasillo,Sistema,2024-02-02 01:02:24,2024-02-02 2024-02-02 01:02:24
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,65.0,Luz pasillo,Casa/Pasillo,Sistema,2024-02-02 01:02:24,2024-02-02 2024-02-02 01:02:24
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,65.0,Luz pasillo,Casa/Pasillo,Sistema,2024-02-02 01:02:20,2024-02-02 2024-02-02 01:02:20
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,48.16kWh,29.0,Luz salón,Casa/Salón,Sistema,2024-02-02 00:56:08,2024-02-02 2024-02-02 00:56:08
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,26.0,25.0,Casa/Salón,Sistema,2024-02-02 00:56:07,2024-02-02 2024-02-02 00:56:07
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,48.16kWh,26.0,25.0,Casa/Salón,Sistema,2024-02-02 00:56:06,2024-02-02 2024-02-02 00:56:06
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,29.0,Luz salón,Casa/Salón,Sistema,2024-02-02 00:54:32,2024-02-02 2024-02-02 00:54:32
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,18.28kWh,77.0,Luz baño,Casa/Baño,Sistema,2024-02-02 00:51:58,2024-02-02 2024-02-02 00:51:58
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,74.0,73.0,Casa/Salón,Sistema,2024-02-02 00:51:57,2024-02-02 2024-02-02 00:51:57
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,74.0,73.0,Casa/Salón,Sistema,2024-02-02 00:51:57,2024-02-02 2024-02-02 00:51:57
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,18.28kWh,74.0,73.0,Casa/Salón,Sistema,2024-02-02 00:51:56,2024-02-02 2024-02-02 00:51:56
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,74.0,73.0,Casa/Salón,Sistema,2024-02-02 00:51:56,2024-02-02 2024-02-02 00:51:56
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,30.6W,65.0,Luz pasillo,Casa/Pasillo,Sistema,2024-02-02 00:47:48,2024-02-02 2024-02-02 00:47:48
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,10.36kWh,65.0,Luz pasillo,Casa/Pasillo,Sistema,2024-02-02 00:47:48,2024-02-02 2024-02-02 00:47:48
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,30.6W,62.0,61.0,Casa/Salón,Sistema,2024-02-02 00:47:46,2024-02-02 2024-02-02 00:47:46
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,10.36kWh,62.0,61.0,Casa/Salón,Sistema,2024-02-02 00:47:46,2024-02-02 2024-02-02 00:47:46
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,77.0,Luz baño,Casa/Baño,Sistema,2024-02-02 00:44:16,2024-02-02 2024-02-02 00:44:16
