ng-star-inserted src,marquee-text,event-id,marquee-text 2,marquee-text 3,event-source-type,event-time,Unnamed: 7,full-date
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,61,60.0,Default Section/SalÃ³n,Sistema,2024-02-01 23:57:52,,2024-02-01 2024-02-01 23:57:52
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,61,60.0,Default Section/SalÃ³n,Sistema,2024-02-01 23:57:52,,2024-02-01 2024-02-01 23:57:52
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,64,Luz Dormitorio,Default Section/SalÃ³n,Sistema,2024-02-01 23:49:34,,2024-02-01 2024-02-01 23:49:34
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,64,Luz Dormitorio,Default Section/SalÃ³n,Sistema,2024-02-01 23:49:33,,2024-02-01 2024-02-01 23:49:33
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,28.1Â°C,93,Temperatura,Default Section/Entrada,Sistema,2024-02-01 23:49:33,,2024-02-01 2024-02-01 23:49:33
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,28.2Â°C,84,82.0.1,Default Section/SalÃ³n,Sistema,2024-02-01 23:49:31,,2024-02-01 2024-02-01 23:49:31
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,12.3W,64,Luz Dormitorio,Default Section/SalÃ³n,Sistema,2024-02-01 23:47:29,,2024-02-01 2024-02-01 23:47:29
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,12.3W,61,60.0,Default Section/SalÃ³n,Sistema,2024-02-01 23:47:27,,2024-02-01 2024-02-01 23:47:27
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,61,60.0,Default Section/SalÃ³n,Sistema,2024-02-01 23:47:27,,2024-02-01 2024-02-01 23:47:27
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,12.1W,64,Luz Dormitorio,Default Section/SalÃ³n,Sistema,2024-02-01 23:40:05,,2024-02-01 2024-02-01 23:40:05
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,9.2W,64,Luz Dormitorio,Default Section/SalÃ³n,Sistema,2024-02-01 23:39:55,,2024-02-01 2024-02-01 23:39:55
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,64,Luz Dormitorio,Default Section/SalÃ³n,Sistema,2024-02-01 23:39:52,,2024-02-01 2024-02-01 23:39:52
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,28.4Â°C,93,Temperatura,Default Section/Entrada,Sistema,2024-02-01 23:39:08,,2024-02-01 2024-02-01 23:39:08
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,28.4Â°C,84,82.0.1,Default Section/SalÃ³n,Sistema,2024-02-01 23:39:07,,2024-02-01 2024-02-01 23:39:07
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,28.7Â°C,93,Temperatura,Default Section/Entrada,Sistema,2024-02-01 23:28:43,,2024-02-01 2024-02-01 23:28:43
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,28.7Â°C,84,82.0.1,Default Section/SalÃ³n,Sistema,2024-02-01 23:28:42,,2024-02-01 2024-02-01 23:28:42
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,28.9Â°C,93,Temperatura,Default Section/Entrada,Sistema,2024-02-01 23:18:17,,2024-02-01 2024-02-01 23:18:17
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,28.9Â°C,84,82.0.1,Default Section/SalÃ³n,Sistema,2024-02-01 23:18:16,,2024-02-01 2024-02-01 23:18:16
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.2Â°C,93,Temperatura,Default Section/Entrada,Sistema,2024-02-01 23:07:53,,2024-02-01 2024-02-01 23:07:53
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.2Â°C,84,82.0.1,Default Section/SalÃ³n,Sistema,2024-02-01 23:07:52,,2024-02-01 2024-02-01 23:07:52
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.5Â°C,93,Temperatura,Default Section/Entrada,Sistema,2024-02-01 22:57:28,,2024-02-01 2024-02-01 22:57:28
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.5Â°C,84,82.0.1,Default Section/SalÃ³n,Sistema,2024-02-01 22:57:27,,2024-02-01 2024-02-01 22:57:27
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.7Â°C,93,Temperatura,Default Section/Entrada,Sistema,2024-02-01 22:47:02,,2024-02-01 2024-02-01 22:47:02
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.7Â°C,84,82.0.1,Default Section/SalÃ³n,Sistema,2024-02-01 22:47:01,,2024-02-01 2024-02-01 22:47:01
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.9Â°C,93,Temperatura,Default Section/Entrada,Sistema,2024-02-01 22:36:38,,2024-02-01 2024-02-01 22:36:38
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.8Â°C,84,82.0.1,Default Section/SalÃ³n,Sistema,2024-02-01 22:36:37,,2024-02-01 2024-02-01 22:36:37
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,4.09kWh,59,Luz 2 SalÃ³n,Default Section/SalÃ³n,Sistema,2024-02-01 22:30:07,,2024-02-01 2024-02-01 22:30:07
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.6Â°C,93,Temperatura,Default Section/Entrada,Sistema,2024-02-01 22:26:13,,2024-02-01 2024-02-01 22:26:13
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.6Â°C,84,82.0.1,Default Section/SalÃ³n,Sistema,2024-02-01 22:26:12,,2024-02-01 2024-02-01 22:26:12
https://home.fibaro.com/assets/icon/fibaro/termometr/termometr.png,29.5Â°C,84,82.0.1,Default Section/SalÃ³n,Sistema,2024-02-01 22:15:46,,2024-02-01 2024-02-01 22:15:46
